cgpa,backlogs,college_tier,country,university_ranking_band,internship_count,aptitude_score,communication_score,specialization,industry,internship_quality_score,salary
7.397371322408986,1,Tier 2,Canada,100-300,2,53.574150031396115,64.1770623342739,Data Science,Consulting,5.481449845806263,104124.36783788816
6.889388559063052,0,Tier 3,UK,300+,1,60.687750044556374,88.34605151101644,Data Science,Consulting,4.6250993770765625,80586.83831262222
7.518150830480554,0,Tier 1,UK,100-300,2,64.56874987048333,69.49317116258237,Cybersecurity,Healthcare,5.2279386281759805,114444.3180966268
8.21842388512642,0,Tier 2,UK,100-300,3,73.46150014169774,78.20485411639238,AI/ML,Tech,5.150673764771964,120000
6.812677300221331,1,Tier 2,USA,100-300,4,86.51812057832834,44.68088106241429,Data Science,Consulting,3.88882431409738,120000
8.263370252405913,1,Tier 3,India,300+,2,61.938594386236275,71.83706817924204,Core CS,Manufacturing,3.366859764339363,37961.54539613216
6.624420491252038,0,Tier 2,India,100-300,3,70.13397901028965,78.08772721825375,Cloud,Consulting,5.026075476889981,45794.429304396224
6.62926584575003,1,Tier 2,USA,Top 100,2,64.2427866114618,73.08297386484615,Cloud,Healthcare,4.778924891916042,99717.52925972376
6.189735103732461,1,Tier 1,USA,100-300,0,65.14670894592736,48.96862443246512,Data Science,Tech,6.973043920834743,120000
7.2513978660762195,2,Tier 1,India,100-300,1,71.73040648382448,59.522195428714994,Core CS,Other,6.010867530079504,52572.376643512645
5.870157038931767,1,Tier 3,Canada,100-300,2,76.01966060853039,84.96776025989575,Core CS,Tech,9.320751543885413,80329.95200421337
8.172519015137244,1,Tier 2,USA,300+,2,93.11875600377628,46.48934921750691,Data Science,Tech,4.493543238892658,120000
6.819378959610772,0,Tier 3,Germany,Top 100,0,66.81226110152862,57.571843574275405,AI/ML,Tech,2.7958123406927062,84909.08783758676
6.5644938203798535,1,Tier 2,Germany,100-300,2,97.6288653192142,73.53209987679325,Cloud,Healthcare,5.457736568288827,84269.98552817258
7.300558414676537,1,Tier 1,India,100-300,1,79.11865761986627,78.05316174228008,Core CS,Manufacturing,5.71008995861846,56107.92841766937
6.519489048064956,0,Tier 2,USA,Top 100,2,60.51390149402755,49.51317165261643,Cybersecurity,Consulting,6.5686232797092945,106322.7660789254
6.766645000165378,0,Tier 2,USA,100-300,3,76.18131380488396,47.27914530073002,AI/ML,Tech,3.800984717515537,120000
6.5186347102164826,1,Tier 3,UK,300+,2,85.83847678868221,87.49725502631372,AI/ML,Finance,3.460430330601959,98003.22847777768
6.989202220209653,1,Tier 3,UK,Top 100,2,58.27827892706628,53.91168633822354,Data Science,Finance,3.308396629459727,85923.09925502952
6.1538312568352795,0,Tier 3,Canada,100-300,2,93.45774149798623,50.50551445313112,Cybersecurity,Other,6.016553589623208,66105.97583525395
